cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
Zack Bazzi,Duncan Domey,Ben Flanders,Mike Moriarty,Steve Pink,Brandon Wilkins,,,,,Deborah Scranton,23495
Samuel L. Jackson,Josh Hartnett,Alan Alda,Teri Hatcher,Kathryn Morris,Dakota Goyo,Rachel Nichols,Nick Sandow,Kristen Shaw,,Rod Lurie,13074
Aaron Yoo,Gary Cole,Sarah Drew,Masatoshi Nakamura,Leonardo Nam,,,,,,Desmond Nakano,17274
,,,,,,,,,,James Huth,17350
,,,,,,,,,,Laurent Tirard,21494
,,,,,,,,,,Brett Ratner,5174
,,,,,,,,,,David Markey,28742
,,,,,,,,,,Doug Lefler,9703
Charles Martin Smith,Katharine Isabelle,Kris Lemche,Julian Richings,Albert Chung,Normand D'Amour,Jacques Godin,,,,Pierre Gill,22085
Marina Hands,Jean-Louis Coulloc'h,Hippolyte Girardot,Hélène Alexandridis,Hélène Fillières,Bernard Verley,Sava Lolov,Jean-Baptiste Montagut,William Atkinson,,Pascale Ferran,3542
Jack Lemmon,Carol Lynley,Edie Adams,Imogene Coca,Paul Lynde,Dean Jones,Robert Lansing,Jane Wald,,,David Swift,43750
,,,,,,,,,,Ben Garant,9750
,,,,,,,,,,Joe Nussbaum,10760
,,,,,,,,,,Peter Berg,4349
Emily Blunt,Ashton Holmes,Martin Donovan,Ned Bellamy,,,,,,,Gregory Jacobs,14223
Nicholas D'Agosto,Margo Martindale,Reece Thompson,Anna Kendrick,Jonah Hill,Denis O'Hare,Vincent Piazza,Aaron Yoo,,,Jeffrey Blitz,13068
Alex Jones,Ray McGovern,Cindy Sheehan,Steven E. Jones,Michael Meacher,Annie Machon,Morgan Reynolds,,,,Alex Jones,9561
Cuba Gooding Jr.,Tamala Jones,Paul Rae,Lochlyn Munro,Richard Gant,Talon G. Ackerman,,,,,Fred Savage,14144
,,,,,,,,,,James McTeigue,4858
,,,,,,,,,,Philip G. Atwell,10431
Rick Gonzalez,Wanda De Jesus,Dania Ramirez,Delilah Cotto,Manny Pérez,Gary Perez,Tego Calderón,Virginia Romero,,,Franc. Reyes,15156
,,,,,,,,,,Robert Pulcini,12435
,,,,,,,,,,Christopher Cain,14877
,,,,,,,,,,Rob Zombie,2082
,,,,,,,,,,James Wan,11835
,,,,,,,,,,Julie Delpy,1845
,,,,,,,,,,Dario Argento,14229
Richard Attenborough,Carol Marsh,Hermione Baddeley,William Hartnell,Harcourt Williams,Wylie Watson,Nigel Stock,Charles Goldner,Alan Wheatley,Joan Sterndale-Bennett,John Boulting,13385
,,,,,,,,,,Enzo G. Castellari,6609
,,,,,,,,,,Sergio Sollima,45211
Franco Nero,Jack Palance,Tony Musante,Giovanna Ralli,Eduardo Fajardo,Franco Giacobini,Lorenzo Robledo,,,,Sergio Corbucci,48169
,,,,,,,,,,Seth Gordon,13958
William H. Macy,Ned Beatty,Don Rickles,Keke Palmer,Cherise Boothe,Catherine O'Hara,Lucinda Davis,Isabelle Champeau,,,Steven Schachter,81700
,,,,,,,,,,Gérard Krawczyk,2335
Nathan Baesel,Angela Goethals,Robert Englund,Scott Wilson,Zelda Rubinstein,Bridgett Newton,Kate Lang Johnson,Hart Turner,Britain Spellings,Kane Hodder,Scott Glosserman,10961
Alexander P. de Seversky,Art Baker,,,,,,,,,H.C. Potter,22779
,,,,,,,,,,Bob Odenkirk,10071
,,,,,,,,,,Gregory Nava,4351
Ryan Reynolds,Melissa McCarthy,Hope Davis,Elle Fanning,David Denman,Octavia Spencer,Ben Falcone,Dahlia Salem,John Gatins,,John August,12994
Tallulah Bankhead,Stefanie Powers,Peter Vaughan,Donald Sutherland,Maurice Kaufmann,Yootha Joyce,Gwendolyn Watts,Robert Dorning,,,Silvio Narizzano,42735
,,,,,,,,,,Claude Berri,2882
,,,,,,,,,,Gaël Morel,53975
Penélope Cruz,Martin Freeman,Gwyneth Paltrow,Simon Pegg,Danny DeVito,Sonia Doubell,Steffan Boje,Michael Gambon,Stephen Graham,Juliana Kiehl,Jake Paltrow,13501
,,,,,,,,,,Marcello Fondato,6916
,,,,,,,,,,Paul Holmes,84242
,,,,,,,,,,Robert Rodriguez,1992
,,,,,,,,,,James Mangold,5176
,,,,,,,,,,Michael Davis,4141
,,,,,,,,,,David Wain,13173
Jason Mewes,Scott Mosier,Kevin Smith,,,,,,,,J.M. Kenny,14348
,,,,,,,,,,Robert Harmon,14786
,,,,,,,,,,Giuseppe De Santis,31058
Diane Lane,Donald Sutherland,Anton Yelchin,Kristen Stewart,Elizabeth Perkins,Paz de la Huerta,Chris Evans,,,,Griffin Dunne,19583
,,,,,,,,,,Joe Wright,4347
Peter Hurteau,Michael Reich,,,,,,,,,Guy-Manuel de Homem-Christo,13529
,,,,,,,,,,Guy Maddin,13241
,,,,,,,,,,Hans-Christian Schmid,523
,,,,,,,,,,Cristian Mungiu,2009
Campbell Scott,Gerald Burke,Ali Fadhil,Robert Hutchings,,,,,,,Charles Ferguson,12901
Steven Seagal,Jacqueline Lord,Roger Guenveur Smith,Luke Goss,Michael Kenneth Williams,Adrian Galley,Langley Kirkwood,Faye Peters,,,Don E. FauntLeRoy,13722
,,,,,,,,,,John Schlesinger,3469
,,,,,,,,,,Neil Jordan,4413
,,,,,,,,,,Paul Haggis,6973
Aamir Khan,Soha Ali Khan,Alice Patten,Sharman Joshi,Kunal Kapoor,Atul Kulkarni,Madhavan,Siddharth,Kirron Kher,,Rakeysh Omprakash Mehra,7913
,,,,,,,,,,Amy Heckerling,15019
,,,,,,,,,,Ernst Lubitsch,77210
Daniel Radcliffe,James Fraser,Christian Byers,Lee Cormie,Jack Thompson,Teresa Palmer,Sullivan Stapleton,Carole-Anne Fooks,,,Rod Hardy,4629
,,,,,,,,,,David Ren,15361
,,,,,,,,,,Richard Shepard,5353
,,,,,,,,,,David Cronenberg,2252
Debbie Doebereiner,Omar Cowan,Dustin James Ashley,Phyllis Workman,,,,,,,Steven Soderbergh,14788
Evgeniy Sidikhin,Amaliya Mordvinova,Pierre Richard,Nutsa Kukhianidze,Shalva Iashvili,Levan Uchaneishvili,Davit Gogibedashvili,,,,Nana Dzhordzhadze,63607
,,,,,,,,,,Michael Corrente,13072
,,,,,,,,,,Henriette Mantel,30365
Ken Ogata,Rentarô Mikuni,Chôchô Miyako,Mitsuko Baisho,Mayumi Ogawa,Nijiko Kiyokawa,Taiji Tonoyama,Kazuko Shirakawa,,,Shôhei Imamura,42170
Kazunari Ninomiya,Yusuke Iseya,Min Tanaka,Tomomichi Nishimura,Yu Aoi,Nao Omori,Tomoko Murakami,Kankuro Kudo,,,Michael Arias,13754
Buzz Aldrin,Michael Collins,Alan Bean,Eugene Cernan,Charles Duke,James Lovell,Edgar Mitchell,Harrison Schmitt,John Young,,David Sington,14284
,,,,,,,,,,Hilary Brougher,20308
,,,,,,,,,,Alek Keshishian,6641
,,,,,,,,,,Josef Rusnak,15071
,,,,,,,,,,Steve Buscemi,8414
,,,,,,,,,,John Herzfeld,10425
,,,,,,,,,,Alain Resnais,24170
Robert Ryan,Robert Stack,Shirley Yamaguchi,Cameron Mitchell,Brad Dexter,Sessue Hayakawa,Biff Elliot,Sandro Giglio,John Doucette,DeForest Kelley,Samuel Fuller,20942
,,,,,,,,,,Russell Mulcahy,7737
Billy Bob Thornton,Seann William Scott,Susan Sarandon,Amy Poehler,Ethan Suplee,Melissa Sagemiller,Allisyn Ashley Arm,Jack Walsh,,,Craig Gillespie,13257
,,,,,,,,,,Mark Helfrich,10030
,,,,,,,,,,Sean Penn,5915
,,,,,,,,,,Andy Fickman,13680
Tony Leung Chiu-Wai,Tang Wei,Joan Chen,Leehom Wang,Anupam Kher,Lawrence Ko,Jacqueline Zhu Zhi-Ying,Ying-hsien Kao,He Saifei,Yan Su,Ang Lee,4588
,,,,,,,,,,Robert Benton,14313
,,,,,,,,,,Uwe Boll,2728
,,,,,,,,,,David L. Cunningham,2274
,,,,,,,,,,Peter Farrelly,9038
,,,,,,,,,,Peter Hedges,7211
,,,,,,,,,,Wes Anderson,4538
,,,,,,,,,,James Gray,2001
,,,,,,,,,,Shekhar Kapur,4517
,,,,,,,,,,Tony Gilroy,4566
Michael Caine,Jude Law,Harold Pinter,Carmel O'Sullivan,Kenneth Branagh,,,,,,Kenneth Branagh,4520
,,,,,,,,,,Craig Gillespie,6615
,,,,,,,,,,David Slade,4513
,,,,,,,,,,Gavin Hood,5125
Halle Berry,Benicio del Toro,David Duchovny,Alison Lohman,Sarah Dubrovsky,Alexis Llewellyn,Micah Berry,Liam James,Quinn Lord,John Carroll Lynch,Susanne Bier,3877
,,,,,,,,,,Terry George,8954
,,,,,,,,,,Ben Affleck,4771
,,,,,,,,,,Tom Brady,10759
Scott Speedman,Taryn Manning,Wes Bentley,Matt Frewer,Greg Bryk,Maggie Castle,Raoul Bhaneja,,,,Allan Moyle,14251
Giovanni Ribisi,Lynn Collins,Scott Caan,Mena Suvari,Sarah Shahi,,,,,,Scott Caan,14848
Danny DeVito,Kathy Bates,Ron Livingston,Neve Campbell,,,,,,,Greg Glienna,14930
,,,,,,,,,,Jonny Campbell,9773
Gillian Anderson,Danny Dyer,Adam Rayner,Antony Byrne,Anthony Calf,Ralph Brown,Steven Robertson,Gugu Mbatha-Raw,Francesca Fowler,,Dan Reed,13538
Ebru Ceylan,Nuri Bilge Ceylan,Nazan Kirilmis,Mehmet Eryilmaz,Arif Asçi,Can Özbatur,,,,,Nuri Bilge Ceylan,18421
,,,,,,,,,,Andrew Dominik,4512
Edgar Morin,Jean Rouch,Marceline Loridan-Ivens,Marilù Parolini,Jean-Pierre Sergent,Régis Debray,Nadine Ballot,,,,Jean Rouch,84972
,,,,,,,,,,Michael Curtiz,37954
Bette Davis,Wendy Craig,Jill Bennett,James Villiers,William Dix,Pamela Franklin,Jack Watling,Maurice Denham,Alfred Burke,,Seth Holt,39893
,,,,,,,,,,Robert Moresco,13197
Oshri Cohen,Alon Aboutboul,Ohad Knoller,Itay Tiran,,,,,,,Joseph Cedar,15048
Kari Matchett,Richard Schiff,Khaled Abol Naga,Peter Krause,,,,,,,Jeff Renfroe,14041
,,,,,,,,,,Gideon Raff,9898
,,,,,,,,,,Sam Garbarski,1922
Jay Baruchel,Alexis Bledel,Victor Rasuk,Shiri Appleby,Chris Parnell,A.J. Cook,Schuyler Fisk,Blake Clark,Katey Sagal,,Zackary Adler,41044
Broderick Crawford,Buddy Ebsen,Robert Wagner,Terry Moore,,,,,,,Richard Fleischer,84567
Powers Boothe,Sean Astin,Rachael Leigh Cook,,,,,,,,David M. Evans,15669
,,,,,,,,,,Marjane Satrapi,2011
,,,,,,,,,,Anton Corbijn,5708
,,,,,,,,,,Robin Swicord,5951
Louis Malle,General Samosa,Derek Walcott,,,,,,,,Louis Malle,114033
,,,,,,,,,,Anders Banke,13319
Aksel Hennie,Laila Goody,Fridtjov Såheim,Marit Andreassen,Bjørn Sundquist,Nils Vogt,,,,,Jens Lien,33688
,,,,,,,,,,Takashi Miike,20646
Sepé Tiaraju,Zé Victor Castiel,Rita Lee,Lobão,Janaína Kremer,Michele Frantz,Felipe Mônaco,Geórgia Reck,Tom Zé,Júlio Andrade,Otto Guerra,90374
Rade Serbedzija,Stephen Dillane,Rosamund Pike,Ayelet Zurer,Robbie Kay,Ed Stoppard,Rachelle Lefevre,Nina Dobrev,,,Jeremy Podeswa,18613
,,,,,,,,,,Nick Love,9911
,,,,,,,,,,Claude Chabrol,27419
Ron Perlman,James Le Gros,Connie Britton,Zach Gilford,Kevin Corrigan,Jamie Harrold,Pato Hoffmann,,,,Larry Fessenden,15667
,,,,,,,,,,François Girard,14753
,,,,,,,,,,Charles Jarrott,46067
,,,,,,,,,,Frank Ryan,50155
Jeff Garlin,Sarah Silverman,Bonnie Hunt,Elle Fanning,Jessy Schram,,,,,,Jeff Garlin,13066
Michael Moore,Debbie Melnyk ,Rick Caine,,,,,,,,Rick Caine,27827
,,,,,,,,,,Jonathan King,3603
Baki Davrak,Tuncel Kurtiz,Hanna Schygulla,Patrycia Ziolkowska,Nursel Köse,Yelda Reynaud,Nurgül Yeşilçay,,,,Fatih Akin,2014
Tyler Perry,Jill Scott,Janet Jackson,Michael Jai White,Malik Yoba,Sharon Leal,Richard T. Jones,Tasha Smith,Kaira Akita,,Tyler Perry,17202
,,,,,,,,,,Darren Lynn Bousman,663
,,,,,,,,,,George Gallo,9262
Imogene Robinson,Victor Robinson,Gene Robinson,Isabella 'Boo' McDaniel,,,,,,,Daniel G. Karslake ,15651
,,,,,,,,,,Shinya Tsukamoto,27276
Rex Lease,Vera Renolds,Sheldon Lewis,Mischa Auer,Martha Mattox,Sidney Bracey,Willie Best,,,,Frank R. Strayer,95560
,,,,,,,,,,Alan Clarke,25476
,,,,,,,,,,Liu Chia-Liang,48301
Ryan Pinkston,Kate Mara,Craig Kilborn,Teri Polo,,,,,,,Christian Charles,29362
,,,,,,,,,,Michael Curtiz,33931
Dick Kaysø,Preben Kristensen,Laura Bro,Marie Ingerslev,,,,,,,Jeffrey James Varab,12646
,,,,,,,,,,Ryoo Seung-wan,20605
Amir Bar-Lev,,,,,,,,,,Amir Bar-Lev,14279
,,,,,,,,,,José Luis Cuerda,20607
Jeon Do-yeon,Song Kang-ho,Park Myung-shin,Cho Youg-jin,Kim Young-jae,,,,,,Lee Chang-dong,2015
,,,,,,,,,,Max Ophüls,28007
Wagner Moura,Caio Junqueira,André Ramiro,Milhem Cortaz,Fernanda Machado,Maria Ribeiro,Fábio Lago,Erick Oliveira,Marcelo Escorel,Roberta Santiago,José Padilha,7347
Germano Haiut,Michel Joelsas,Paulo Autran,Simone Spoladore,Eduardo Moreira,Caio Blat,Daniela Piepszyk,Liliana Castro,Rodrigo dos Santos,,Cao Hamburger,14421
,,,,,,,,,,Mike Cahill,5718
John Cusack,Bobby Coleman,Amanda Peet,Joan Cusack,Oliver Platt,Richard Schiff,Sophie Okonedo,Anjelica Huston,Taya Calicetto,Zak Ludwig,Menno Meyjes,5126
David Chisum,Kristen Kerr,Richard Tyson,Kevin J. O'Connor,Erick Avari,,,,,,Scott Thomas,16126
,,,,,,,,,,Wong Jing,18731
,,,,,,,,,,Jeremy Kasten,37005
,,,,,,,,,,Matthew Hastings,18442
,,,,,,,,,,Joan Micklin Silver,42173
,,,,,,,,,,Ridley Scott,4982
,,,,,,,,,,Simon J. Smith,5559
,,,,,,,,,,Wisit Sasanatieng,25755
,,,,,,,,,,Sidney Lumet,7972
,,,,,,,,,,Julian Schnabel,2013
,,,,,,,,,,Ethan Coen,6977
Barry Pepper,Willem Dafoe,Jacinda Barrett,Tom Wilkinson,Alan Cumming,Claire Forlani,Ian Hart,,,,Roger Spottiswoode,39127
Jack Black,Yasiin Bey,Danny Glover,Mia Farrow,Marcus Carl Franklin,Arjay Smith,Paul Dinello,Melonie Diaz,Sigourney Weaver,,Michel Gondry,4953
Melonie Diaz,Nicole Vicius,Guinevere Turner,Carly Pope,Daniela Sea,Leslie Grossman,Carla Alapont,Jimmi Simpson,Clea DuVall,,Jamie Babbit,10520
,,,,,,,,,,Dan Klores,26336
Henry Fonda,Dolores del Río,Pedro Armendáriz,J. Carrol Naish,Leo Carrillo,Ward Bond,Robert Armstrong,John Qualen,Fortunio Bonanova,Rodolfo Acosta,John Ford,37368
Sofia Boutella,Hiam Abbass,Patrick Timsit,Cyril Mourali,Karim M'Ribah,,,,,,Michel Ocelot,19026
,,,,,,,,,,Kirsten Sheridan,5123
Sun Ra,Raymond Johnson,Christopher Brooks,,,,,,,,John Coney,16203
John Wayne,Marion Burns,Dennis Moore,Reed Howes,Joseph De Grasse,Yakima Canutt,Earl Dwire,Nelson McDowell,,,Robert N. Bradbury,53827
,,,,,,,,,,William Wyler,18612
,,,,,,,,,,Roy Andersson,5817
,,,,,,,,,,Richard Schenkman,13363
,,,,,,,,,,Cheol-hie Park,43987
,,,,,,,,,,Andrew V. McLaglen,32726
Robert Redford,Meryl Streep,Tom Cruise,Michael Peña,Andrew Garfield,Peter Berg,Derek Luke,Jennifer Sommerfeld,,,Robert Redford,4515
,,,,,,,,,,David Dobkin,5375
,,,,,,,,,,Robert Zemeckis,2310
,,,,,,,,,,Zach Helm,2284
,,,,,,,,,,Mike Newell,6639
,,,,,,,,,,Richard Kelly,4723
,,,,,,,,,,Joshua Atesh Litle,29162
,,,,,,,,,,Rainer Werner Fassbinder,48267
Kevin Smith,Jason Mewes,Jennifer Schwalbach Smith,Grace Smith,Harley Quinn Smith,,,,,,J.M. Kenny,16768
,,,,,,,,,,Phil Karlson,21296
Sean Astin,Christopher Plummer,Eugene Levy,Hayden Christensen,,,,,,,Bruce Pittman,24732
Ron Perlman,Amy Lalonde,Terra Vnesa,Barbara Mamabolo,Krysta Carter,Jordan Madley,Tasha May,Richard Alan Campbell,James Kidnie,Jennifer Miller,Warren P. Sonoda,10251
Kevin Bacon,Marcia Gay Harden,Miles Heizer,Marin Hinkle,Eugene Byrd,Bonnie Root,Kathryn Joosten,,,,Alison Eastwood,15006
Don Cheadle,Hejewa Adam,Adam Sterling,Ahmed Mahammed Abaka,Pablo Recalde,Luis Moreno-Ocampo,,,,,Ted Braun,24060
,,,,,,,,,,Terry Green ,34898
Ivan Barnev,Oldřich Kaiser,Julia Jentsch,Marián Labuda,Martin Huba,Milan Lasica,Josef Abrhám,Jaromír Dulava,Jiří Lábus,,Jiří Menzel,12555
John Wayne,Lucile Browne,LeRoy Mason,Fern Emmett,George 'Gabby' Hayes,Jay Wilsey,John Ince,Henry Roquemore,Jack Duffy,,Robert N. Bradbury,22606
Alex Barnett,Paul Goldblatt,Macon Blair,Stacy Rock,Bill Tangradi,Chris Sharp,William Lacey,Skei Saulnier,,,Jeremy Saulnier,13561
,,,,,,,,,,Gregg Araki,13168
,,,,,,,,,,Nikita Mikhalkov,20714
,,,,,,,,,,Lucía Puenzo,11148
,,,,,,,,,,Samuel Fuller,46872
,,,,,,,,,,Alex Jones,18312
Julie Depardieu,Nina Kervel-Bey,Stefano Accorsi,Flore Vannier-Moreau,,,,,,,Julie Gavras,17460
,,,,,,,,,,Frank Darabont,5876
,,,,,,,,,,Kevin Lima,4523
,,,,,,,,,,Xavier Gens,1620
Loretta Devine,Delroy Lindo,Idris Elba,Regina King,Laz Alonso,Lauren London,Chris Brown,,,,Preston A. Whitmore II,15250
,,,,,,,,,,Franck Khalfoun,13474
,,,,,,,,,,Farah Khan,8079
,,,,,,,,,,Joby Harold,13483
,,,,,,,,,,Chris Weitz,2268
,,,,,,,,,,Francis Lawrence,6479
,,,,,,,,,,Tim Hill,6477
John DiMaggio,Al Gore,Billy West,Katey Sagal,Phil LaMarr,Mark Hamill,,,,,Dwayne Carey-Hill,7249
Patricia Ree Gilbert ,Don Fellows,Robert L. Rosen,,,,,,,,William Greaves,44783
,,,,,,,,,,Noah Baumbach,13998
,,,,,,,,,,Todd Haynes,3902
Charlie Sheen,Linda Fiorentino,Michael Madsen,Courtney B. Vance,Leon Rippy,Dennis Burkley,Lyndsay Riddell,Rino Thunder,Rip Torn,,Larry Ferguson,18631
,,,,,,,,,,Henry Hathaway,43308
,,,,,,,,,,Hardy Martins,11476
,,,,,,,,,,Tamara Jenkins,8272
,,,,,,,,,,Joe Lynch,13186
Belén Rueda,Fernando Cayo,Roger Príncep,Mabel Rivera,Montserrat Carulla,Andrés Gertrúdix,Édgar Vivar,Óscar Casas,Geraldine Chaplin,Carmen López,Juan Antonio Bayona,6537
,,,,,,,,,,Alexander Korda,43798
,,,,,,,,,,Jason Reitman,7326
Joseph Fiennes,Dennis Haysbert,Diane Kruger,Shiloh Henderson,Patrick Lyster,,,,,,Bille August,1874
,,,,,,,,,,Yasujirō Ozu,55192
Beth Naef,Mike Hudson,Louis C.K.,,,,,,,,James D. Scurlock,33003
,,,,,,,,,,Wong Kar-wai,1989
Romy Schneider,Alain Delon,Maurice Ronet,Jane Birkin,,,,,,,Jacques Deray,4946
,,,,,,,,,,Nisha Ganatra,24123
,,,,,,,,,,James Glenn Dudelson,28522
,,,,,,,,,,Christophe Honoré,48266
Julia Barnett,Ted Bardy,Sarah Bloom,Michelle Carano,Dov Davidoff,Giancarlo Esposito,,,,,Tony Spiridakis,71848
Michael Alig,James St. James,,,,,,,,,Randy Barbato,34424
Connie Nielsen,Aidan Quinn,Kelly Preston,Tim Daly,Mark Ryan,Mark Holton,Sara-Marie Maltha,Randy Colton,Robin Brooks Sullivan,Madison Mueller,Bille August,25460
Gary Busey,John Cusack,Benicio del Toro,Nick Nolte,Sean Penn,Harry Dean Stanton,Hunter S. Thompson,Bill Murray,Johnny Depp,,Tom Thurman,25740
Lauren Ambrose,Lilli Taylor,Frank Langella,,,,,,,,Andrew Wagner,13076
Izzy Diaz,Rob Devaney,Ty Jones,Anas Wellman,Mike Figueroa,,,,,,Brian De Palma,11600
Chadhoorth Djawann,Jacinto Dumbal,Judge Dumbroso,Boaz Ganor,,,,,,,Pierre Rehov,35237
Brian Steidle,,,,,,,,,,Anne Sundberg,13023
Harry Andrews,Geoffrey Bayldon,Faith Brook,Patrick Barlow,Phyllis Calvert,Graham Crowden,Maurice Denham,John Franklyn-Robbins,Wendy Hiller,Hilary Mason,Martyn Friend,150938
Chris Eigeman,Stephanie March,Ian Holm,Famke Janssen,Peter Vack,Griffin Newman,Josh Caras,Matt Stadelmann,,,Oren Rudavsky,46902
The Dalai Lama,,,,,,,,,,Rick Ray,10884
Michael Bierut,Neville Brody,David Carson,,,,,,,,Gary Hustwit,13348
,,,,,,,,,,Abel Ferrara,64942
Kiều Chinh,Long Nguyen,Diem Lien,Jayvee Mai The Hiep,Khanh Doan,Cat Ly,Nguyen Thai Nguyen,Tere Morris,,,Ham Tran,25784
,,,,,,,,,,,22452
,,,,,,,,,,Rob Reiner,7350
 Bill Bunten,Warren Carter,Kelly Franz,,,,,,,,K. Ryan Jones,66110
,,,,,,,,,,Edward A. Blatt,26600
,,,,,,,,,,Marc Forster,7979
,,,,,,,,,,Norifumi Suzuki,20567
Louis Garrel,Clotilde Hesme,Nicolas Maury,Caroline Deruas,Eric Rulliat,Julien Lucas,Maurice Garrel,Rebecca Convenant,Marc Barbé,,Philippe Garrel,45126
Henning Moritzen,Ulrich Thomsen,Nicolas Bro,Per Fly,Benedikte Hansen,Ellen Hillingsø,,,,,Christoffer Boe,52473
,,,,,,,,,,Dario Piana,12171
,,,,,,,,,,Jonathan Berman,157373
Douglas Fairbanks,Enid Bennett,Wallace Beery,Sam De Grasse,Alan Hale,Bud Geary,Willard Louis,Lloyd Talman,Paul Dickey,William Lowery,Allan Dwan,71066
,,,,,,,,,,Shôsuke Murakami,13299
,,,,,,,,,,Mike Barker,13250
,,,,,,,,,,Pietro Germi,42790
,,,,,,,,,,Martin Hynes,9867
Cory Knauf,Samuel Child,Joseph McKelheer,Mackenzie Firgens,Rebekah Hoyle,Brittany Daniel,Al Liner,Jena Hunt,Nicholas Fanella,Larry Laverty,Mitchell Altieri,15495
,,,,,,,,,,Stephen Poliakoff,53896
Richard Gere,Claire Danes,KaDee Strickland,Ray Wise,Russell Sams,Avril Lavigne,,,,,Andrew Lau,14148
,,,,,,,,,,Vicente Aranda,48737
,,,,,,,,,,Goran Dukic,13198
,,,,,,,,,,Fredi M. Murer,14804
,,,,,,,,,,Steve James,111744
Jim Broadbent,Lindsay Duncan,Lee Boardman,Samantha Morton,Andy Serkis,Kate Miles,Sarah Crowden,Robert Pugh,,,Tom Hooper,36328
Paget Brewster,Jeff Branson,Jess Weixler,Ricky Ullman,Avi Setton,,,,,,Ishai Setton,23817
,,,,,,,,,,Tim Burton,13885
,,,,,,,,,,Jon Turteltaub,6637
,,,,,,,,,,Tsai Ming-liang,12130
,,,,,,,,,,Paul Thomas Anderson,7345
Milena Dravić,Ivica Vidović,Jagoda Kaloper,Tuli Kupferberg,Zoran Radmilović,Jackie Curtis,Wilhelm Reich,Milan Jelić,Jim Buckley,Mikheil Gelovani,Dusan Makavejev,42529
,,,,,,,,,,Mike Nichols,6538
John Wayne,Ann-Margret,Rod Taylor,Ben Johnson,Christopher George,Bobby Vinton,Jerry Gatlin,Ricardo Montalban,,,Burt Kennedy,40682
,,,,,,,,,,Greg Strause,440
,,,,,,,,,,Jake Kasdan,6575
,,,,,,,,,,William Heins,19213
Bryce Dallas Howard,Kevin Kline,Romola Garai,Adrian Lester,Janet McTeer,Alfred Molina,David Oyelowo,Jimmy Yuill,Brian Blessed,Richard Briers,Kenneth Branagh,19103
,,,,,,,,,,Til Schweiger,6076
,,,,,,,,,,Russell Mulcahy,9546
Selton Mello,Paula Braun,Alice Braga,Lourenço Mutarelli,Fabiana Gugli,Sílvia Lourenço,Milhem Cortaz,Xico Sá,,,Heitor Dhalia,40860
Pascale Hutton,Margot Kidder,Jason Priestley,Jessalyn Gilsig,,,,,,,Kari Skogland,111854
,,,,,,,,,,Denzel Washington,14047
Hurichabilike,Dawa,Geliban,Yidexinnaribu,Badema,Wurima,Dugema,Jinlaowu,Buhebilike,Sarengaowa,Ning Hao,1488
Tom Wilkinson,Billy Crudup,Mandy Moore,Bob Balaban,Christine Taylor,Cassidy Hinkle,Bobby Cannavale,,,,Justin Theroux,14118
,,,,,,,,,,Jay Russell,54318
,,,,,,,,,,Félix Enríquez Alcalá,69315
Anthony Wong,Francis Ng,Jackie Lui Chung-Yin,Roy Cheung,Lam Suet,Simon Yam,Wong Tin-Lam,Eddy Ko,Elaine Eca Da Silva,Keiji Sato,Johnnie To,45871
,,,,,,,,,,Richard LaGravenese,6023
,,,,,,,,,,Lance Rivera,26990
,,,,,,,,,,Anne Fletcher,6557
,,,,,,,,,,James Ivory,107282
,,,,,,,,,,John Brahm,28363
Hugo Armstrong,Rosalind Chao,Stephen Dorff,John Getz,Mariel Hemingway,Michelle Krusiec,Chris Mulkey,Woody Harrelson,,,Dan Sturman,17181
,,,,,,,,,,Jack Clayton,69557
Lili Taylor,Andrew McCarthy,Debi Mazar,Alexis Arquette,Leslie Mann,Richard Edson,Seymour Cassel,,,,Isabel Coixet,110909
Darío Grandinetti,Goya Toledo,Fernando Guillén,Eric Bonicatto,,,,,,,Laura Mañá,31068
Selton Mello,Raul Cortez,Juliana Carneiro da Cunha,Simone Spoladore,Leonardo Medeiros,Caio Blat,,,,,Luiz Fernando Carvalho,60141
,,,,,,,,,,Nicholas Webster,32307
,,,,,,,,,,Breno Silveira,49367
,,,,,,,,,,Yasujirō Ozu,28272
,,,,,,,,,,Woody Allen,4787
Kim Delaney,Beau Bridges,Melissa Carter,John Cassini,David Cubitt,Melissa Sue Anderson,Glenda Braganza,,,,John Lafia,21847
Daniel Letterle,Diego Serrano,Shanola Hampton,David Monahan,Richard Riehle,Joel Brooks,Scott Atkinson,Dean Shelton,Meredith Baxter,,George Bamber,33358
Darsheel Safary,Aamir Khan,Tisca Chopra,Vipin Sharma,Tanay Chheda,Sachet Engineer,Girija Oak,Bugs Bhargava,Shankar Sachdev,Lalita Lajmi,Aamir Khan,7508
Karel Fiala,Rudolf Deyl ml.,Miloš Kopecký,Květa Fialová,Olga Schoberová,Bohuš Záhorský,Josef Hlinomaz,Waldemar Matuška,Karel Effa,,Oldřich Lipský,20629
,,,,,,,,,,Shim Hyung-Rae,10253
Joe Swanberg,Greta Gerwig,Tipper Newton,,,,,,,,Joe Swanberg,44434
Sasson Gabai,Ronit Elkabetz,Khalifa Natour,Saleh Bakri,Shlomi Avraham,Rubi Moskovitz,Gavriel Ayrum,Jabarin Camal,,,Eran Kolirin,5259
Taegu Andy Kang,Bokja Kim,Jiseon Kim,Nathan Rodriguez,,,,,,,So Yong Kim,47841
,,,,,,,,,,Paco Plaza,8329
